id,brand,price,size,units,retailer,sale,created_at,updated_at,product_id
1,'jif',5.99,20,'dry oz','lucky',false,'2016-12-08 12:35:01 UTC','2016-12-08 12:35:01 UTC',1
2,'skippy',5.95,20,'dry oz','lucky',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',1
3,'soylent',2.99,16,'fl oz','target',true,'2016-12-08 12:45:46 UTC','2016-12-08 12:45:46 UTC',4
4,'none',14.99,1,'lb','safeway',false,'2016-12-08 12:50:46 UTC','2016-12-08 12:50:46 UTC',5
5,'tide',17.99,2,'lb','costco',true,'2016-12-08 12:55:46 UTC','2016-12-08 12:55:46 UTC',6
6,'kirkland',10.99,2,'lb','costco',true,'2016-12-08 12:55:47 UTC','2016-12-08 12:55:47 UTC',6
7,'kirkland',21.99,3.5,'lb','costco',false,'2016-12-08 12:55:48 UTC','2016-12-08 12:55:48 UTC',8
8,'sony',1099.99,60,'in','costco',false,'2016-12-08 12:55:49 UTC','2016-12-08 12:55:49 UTC',7
9,'jif',5.95,20,'dry oz','lucky',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',1
10,'skippy',6.95,24,'dry oz','safeway',false,'2016-12-09 12:05:05 UTC','2016-12-09 12:05:05 UTC',1
11,'none',15.99,1,'lb','safeway',false,'2016-12-09 12:05:15 UTC','2016-12-09 12:05:15 UTC',5
12,'rockland',4.99,1,'dozen','safeway',false,'2016-12-09 12:05:25 UTC','2016-12-09 12:05:25 UTC',3
13,'jif',5.12,30,'dry oz','costco',false,'2016-12-09 12:15:25 UTC','2016-12-09 12:15:25 UTC',1
14,'jif',6.99,24,'dry oz','target',false,'2016-12-09 12:20:25 UTC','2016-12-09 12:20:25 UTC',1
15,'sony',899.99,60,'in','costco',true,'2016-12-09 12:35:46 UTC','2016-12-09 12:35:46 UTC',7
16,'sony',1199.99,54,'in','target',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',7
17,'skippy',3.99,20,'dry oz','target',true,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',1
18,'none',14.99,1,'lb','safeway',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',5
19,'tide',18.99,2,'lb','safeway',true,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',6
20,'rockland',4.95,1,'dozen','safeway',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',3
21,'tide',19.99,2,'lb','costco',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',6
22,'kirkland',12.99,2,'lb','costco',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',6
23,'soylent',4.99,16,'fl oz','7-11',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',4
24,'soylent',2.95,12,'fl oz','7-11',true,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',4
25,'skippy',5.78,20,'dry oz','lucky',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',1
26,'sunnyside',2.99,1,'1/2 dozen','lucky',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',3
27,'none',14.99,1,'lb','safeway',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',5
28,'tide',18.99,2,'lb','safeway',true,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',6
29,'rockland',4.95,1,'dozen','safeway',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',3
30,'skippy',6.95,24,'dry oz','safeway',false,'2016-12-08 12:35:46 UTC','2016-12-08 12:35:46 UTC',1
